date_pred,R2_adj,RMSE,MAE
2013-06-06,0.9187535848042668,4.279903975342149,3.425279955993196
2013-06-17,0.9184251602362494,3.5784518854751908,3.0680347988752916
2013-06-24,0.9189188480542188,7.9229074812983695,5.4662528946954865
2013-07-04,0.9175051671295387,4.9107129505365466,3.8008847605949247
2013-07-09,0.9164789841219692,13.28252315975774,10.611815676266351
2013-07-13,0.9165953289554529,3.7303415683420096,3.2348498477542305
2013-07-16,0.91478477564231,35.449776583513746,24.403686117177873
2013-07-18,0.911604068045959,40.863526580646436,35.41758405218925
2013-07-19,0.9129842035888464,62.20992638996277,44.46122391936389
2013-07-20,0.9133067443073221,23.65868022830874,19.351387529652875
2013-07-24,0.9122571652199004,5.2535097768181265,3.990485854463622
2013-07-25,0.9121626617888563,5.4513747010398115,3.7779836207828548
2013-12-06,0.9106444587873491,3.4448800514849354,2.7657182703305114
2013-12-07,0.9112467932171634,8.504571192279498,7.980654110428298
2013-12-17,0.9082168354668934,34.549321517539894,29.68053425352359
