date_pred,RMSE,MAE
2013-06-06,3.4280338777359427,2.429702566045449
2013-06-17,1.940493287038278,1.6354264584397862
2013-06-24,8.319812920529273,5.123240742075412
2013-07-04,6.606704268426053,6.142264706393607
2013-07-09,19.844775312822815,19.083226301961524
2013-07-13,4.63516934161711,3.5707835686048615
2013-07-16,14.896798596244674,13.33787502715828
2013-07-18,34.76893865596167,26.766768697994042
2013-07-19,32.85514731831867,28.246059821558987
2013-07-20,40.86941512675199,34.42966015605994
2013-07-24,21.695919486669776,19.666948041802048
2013-07-25,10.513854751173916,9.841652295020262
2013-12-06,2.922983460614502,2.29928297011005
2013-12-07,7.453191265360251,5.566646133704613
2013-12-17,12.329913557386872,10.395369945926927
