date_pred,RMSE,MAE
2013-06-06,4.144885297016326,3.5493120031988488
2013-06-17,12.095149583453681,10.66985786733116
2013-06-24,23.17482482526433,18.768197219869005
2013-07-04,6.028261581238676,4.924663186245319
2013-07-09,10.639083842589072,8.834498912770506
2013-07-13,7.90260900916295,6.8658152389468015
2013-07-16,40.648124774284696,26.65827102148779
2013-07-18,45.60553334286619,36.32626794479841
2013-07-19,53.14081560718941,39.84620688160923
2013-07-20,22.920106049549428,16.060468817033886
2013-07-24,9.48437782785729,7.616750115316866
2013-07-25,5.762276279342038,4.719450578834472
2013-12-06,4.226388542941018,3.8271925619446785
2013-12-07,10.42928185853635,8.420105371890266
2013-12-17,27.98233952213707,22.996360140397734
