date_pred,RMSE,MAE
2013-06-06,2.9082019930060112,2.5118205468309323
2013-06-17,2.7837471675055703,2.4027893676795347
2013-06-24,11.18094529534227,6.593927398083736
2013-07-04,7.810039180533587,7.185891152663816
2013-07-09,17.654326507794437,17.077015761643644
2013-07-13,5.484924797274236,4.708766803069249
2013-07-16,19.9602272354346,16.931584656394463
2013-07-18,53.32108515924468,40.547414507260015
2013-07-19,52.7665462191767,41.874972786575974
2013-07-20,43.44871165931365,40.40310294345198
2013-07-24,21.4472209891278,20.270929161521664
2013-07-25,14.047158193106565,13.223078423251724
2013-12-06,2.252973604397313,1.7619463203834493
2013-12-07,8.387766292769697,6.640293747064386
2013-12-17,13.1186991508666,10.762926092311842
