date_pred,RMSE,MAE
2013-06-06,36.800506440021536,33.75918156249999
2013-06-17,36.800506440021536,33.75918156249999
2013-06-24,36.800506440021536,33.75918156249999
2013-07-04,36.800506440021536,33.75918156249999
2013-07-09,36.800506440021536,33.75918156249999
2013-07-13,36.800506440021536,33.75918156249999
2013-07-16,36.800506440021536,33.75918156249999
2013-07-18,36.800506440021536,33.75918156249999
2013-07-19,36.800506440021536,33.75918156249999
2013-07-20,36.800506440021536,33.75918156249999
2013-07-24,36.800506440021536,33.75918156249999
2013-07-25,36.800506440021536,33.75918156249999
2013-12-06,36.800506440021536,33.75918156249999
2013-12-07,36.800506440021536,33.75918156249999
2013-12-17,36.800506440021536,33.75918156249999
